name,value,continent
Independent Olympic Athletes,22.22,
North Korea,19.35,Asia
Grenada,16.67,North America
United States,12.55,North America
Kosovo,12.50,Europe
China,11.25,Asia
Russia,10.91,Europe
Ethiopia,10.53,Africa
Great Britain & N. Ireland,10.38,Europe
Vietnam,8.70,Asia
United Arab Emirates,8.33,Asia
Hungary,7.69,Europe
Japan,7.69,Asia
Kazakhstan,7.62,Asia
Thailand,7.55,Asia
Uzbekistan,7.25,Asia
Indonesia,7.14,Asia
Philippines,7.14,Asia
Italy,6.93,Europe
South Korea,6.83,Asia
Czech Republic,5.94,Europe
Denmark,5.65,Europe
France,5.56,Europe
Kyrgyzstan,5.56,Asia
Australia,5.25,Oceania
South Africa,5.15,Africa
Chinese Taipei,5.08,Asia
Jamaica,5.08,North America
Norway,5.08,Europe
Georgia,5.00,Europe
Switzerland,5.00,Europe
Iran,4.84,Asia
Slovenia,4.84,Europe
Mongolia,4.65,Asia
Lithuania,4.55,Europe
Cuba,4.35,North America
Canada,4.21,North America
Israel,4.17,Asia
Romania,4.08,Europe
Slovakia,4.08,Europe
Germany,4.04,Europe
New Zealand,4.02,Oceania
Singapore,4.00,Asia
Sweden,3.90,Europe
Belgium,3.77,Europe
Netherlands,3.77,Europe
Kenya,3.75,Africa
Azerbaijan,3.64,Asia
Croatia,3.41,Europe
Belarus,3.33,Europe
Malaysia,3.13,Asia
Bahrain,2.86,Asia
Colombia,2.72,South America
Estonia,2.38,Europe
Puerto Rico,2.38,North America
Greece,2.13,Europe
Ukraine,2.01,Europe
Fiji,1.96,Oceania
Egypt,1.69,Africa
Tunisia,1.67,Africa
Poland,1.65,Europe
Spain,1.65,Europe
Ireland,1.30,Europe
Brazil,1.28,South America
Venezuela,1.16,South America
Portugal,1.08,Europe
Turkey,0.98,Asia
Argentina,0.93,South America
Afghanistan,0.00,Asia
Albania,0.00,Europe
Algeria,0.00,Africa
American Samoa,0.00,Oceania
Andorra,0.00,Europe
Angola,0.00,Africa
Antigua & Barbuda,0.00,North America
Armenia,0.00,Asia
Aruba,0.00,North America
Austria,0.00,Europe
Bahamas,0.00,North America
Bangladesh,0.00,Asia
Barbados,0.00,North America
Belize,0.00,North America
Benin,0.00,Africa
Bermuda,0.00,North America
Bhutan,0.00,Asia
Bolivia,0.00,South America
Bosnia & Herzegovina,0.00,Europe
Botswana,0.00,Africa
British Virgin Islands,0.00,North America
Brunei,0.00,Asia
Bulgaria,0.00,Europe
Burkina Faso,0.00,Africa
Burundi,0.00,Africa
Cambodia,0.00,Asia
Cameroon,0.00,Africa
Cape Verde,0.00,Africa
Cayman Islands,0.00,North America
Central African Republic,0.00,Africa
Chad,0.00,Africa
Chile,0.00,South America
Comoros,0.00,Africa
Congo,0.00,Africa
Cook Islands,0.00,Oceania
Costa Rica,0.00,North America
Cyprus,0.00,Europe
Cote d'Ivoire,0.00,Africa
DR Congo,0.00,Africa
Djibouti,0.00,Africa
Dominica,0.00,North America
Dominican Republic,0.00,North America
Ecuador,0.00,South America
El Salvador,0.00,North America
Equatorial Guinea,0.00,Africa
Eritrea,0.00,Africa
FYR Macedonia,0.00,Europe
Federated States of Micronesia,0.00,Oceania
Finland,0.00,Europe
Gabon,0.00,Africa
Gambia,0.00,Africa
Ghana,0.00,Africa
Guam,0.00,Oceania
Guatemala,0.00,North America
Guinea,0.00,Africa
Guinea-Bissau,0.00,Africa
Guyana,0.00,South America
Haiti,0.00,North America
Honduras,0.00,North America
Hong Kong,0.00,Asia
Iceland,0.00,Europe
India,0.00,Asia
Iraq,0.00,Asia
Jordan,0.00,Asia
Kiribati,0.00,Oceania
Laos,0.00,Asia
Latvia,0.00,Europe
Lebanon,0.00,Asia
Lesotho,0.00,Africa
Liberia,0.00,Africa
Libya,0.00,Africa
Liechtenstein,0.00,Europe
Luxembourg,0.00,Europe
Madagascar,0.00,Africa
Malawi,0.00,Africa
Maldives,0.00,Asia
Mali,0.00,Africa
Malta,0.00,Europe
Marshall Islands,0.00,Oceania
Mauritania,0.00,Africa
Mauritius,0.00,Africa
Mexico,0.00,North America
Moldova,0.00,Europe
Monaco,0.00,Europe
Montenegro,0.00,Europe
Morocco,0.00,Africa
Mozambique,0.00,Africa
Myanmar,0.00,Asia
Namibia,0.00,Africa
Nauru,0.00,Oceania
Nepal,0.00,Asia
Nicaragua,0.00,North America
Niger,0.00,Africa
Nigeria,0.00,Africa
Oman,0.00,Asia
Pakistan,0.00,Asia
Palau,0.00,Oceania
Palestine,0.00,Asia
Panama,0.00,North America
Papua New Guinea,0.00,Oceania
Paraguay,0.00,South America
Peru,0.00,South America
Qatar,0.00,Asia
Rwanda,0.00,Africa
Saint Kitts & Nevis,0.00,North America
Saint Lucia,0.00,North America
Samoa,0.00,Oceania
San Marino,0.00,Europe
Sao Tome & Principe,0.00,Africa
Saudi Arabia,0.00,Asia
Senegal,0.00,Africa
Serbia,0.00,Europe
Seychelles,0.00,Africa
Sierra Leone,0.00,Africa
Solomon Islands,0.00,Oceania
Somalia,0.00,Africa
South Sudan,0.00,Africa
Sri Lanka,0.00,Asia
St Vincent & the Grenadines,0.00,North America
Sudan,0.00,Africa
Suriname,0.00,South America
Swaziland,0.00,Africa
Syria,0.00,Asia
Tajikistan,0.00,Asia
Tanzania,0.00,Africa
Timor-Leste,0.00,Asia
Togo,0.00,Africa
Tonga,0.00,Oceania
Trinidad & Tobago,0.00,North America
Turkmenistan,0.00,Asia
Tuvalu,0.00,Oceania
US Virgin Islands,0.00,North America
Uganda,0.00,Africa
Uruguay,0.00,South America
Vanuatu,0.00,Oceania
Yemen,0.00,Asia
Zambia,0.00,Africa
Zimbabwe,0.00,Africa
